Title,Location,Rent,Bathrooms,BHK,Area
"4 BHK Flat for Rent in Brigade Gateway, Rajajinagar, Bangalore","Brigade Gateway, Rajajinagar",100000,4.0,4.0,2000
"2 BHK Flat for Rent in Sparkle Marquise, Bannerghatta Main Road, Bangalore","Sparkle Marquise, Bannerghatta Main Road",55000,2.0,2.0,834
"2 BHK Flat for Rent in Godrej Woodsman Estate, Hebbal, Bangalore","Godrej Woodsman Estate, Hebbal",59000,2.0,2.0,1302
"4 BHK Flat for Rent in Prestige Estates Shantiniketan, Whitefield, Bangalore","Prestige Estates Shantiniketan, Whitefield",130000,5.0,4.0,3122
"1 BHK Flat for Rent in Prestige Jindal City, Tumkur Road, Bangalore","Prestige Jindal City, Tumkur Road",33000,1.0,1.0,422
3 BHK House for Rent in Haralur Main Road Bangalore,Haralur Main Road,45000,3.0,3.0,2100
"3 BHK Flat for Rent in Prestige Falcon City, Kanakapura Road, Bangalore","Prestige Falcon City, Kanakapura Road",68000,3.0,3.0,1200
"3 BHK Flat for Rent in Avalon Park At The Prestige City, Sarjapur Road, Bangalore","Avalon Park At The Prestige City, Sarjapur Road",55000,3.0,3.0,1500
"4 BHK Flat for Rent in L&T Raintree Boulevard, Hebbal, Bangalore","L&T Raintree Boulevard, Hebbal",130000,5.0,4.0,2400
4 BHK Villa for Rent in Carmelaram Bangalore,Carmelaram,130000,4.0,4.0,2111
"2 BHK Flat for Rent in Prestige Falcon City, Kanakapura Road, Bangalore","Prestige Falcon City, Kanakapura Road",52000,2.0,2.0,1218
"3 BHK Flat for Rent in Hiranandani Glen Gate, Hebbal, Bangalore","Hiranandani Glen Gate, Hebbal",58000,2.0,3.0,1250
"3 BHK Flat for Rent in Gopalan Aqua, Whitefield, Bangalore","Gopalan Aqua, Whitefield",75000,3.0,3.0,1344
"2 BHK Flat for Rent in Akme Ballet, Doddanekundi, Kartik Nagar, Bangalore","Akme Ballet, Doddanekundi, Kartik Nagar",65000,2.0,2.0,1285
"3 BHK Flat for Rent in Sobha Windsor, Whitefield, Bangalore","Sobha Windsor, Whitefield",65000,3.0,3.0,1100
"3 BHK Flat for Rent in Sobha City Casa Paradiso, RK Hegde Nagar, Bangalore","Sobha City Casa Paradiso, RK Hegde Nagar",60000,4.0,3.0,2100
"3 BHK Flat for Rent in Phoenix One Bangalore West, 1st Block Rajajinagar, Bangalore","Phoenix One  West, 1st Block Rajajinagar",200000,3.0,3.0,1277
"4 BHK Flat for Rent in Sobha Indraprastha, Rajajinagar Industrial Town, Rajajinagar, Bangalore","Sobha Indraprastha, Rajajinagar Industrial Town, Rajajinagar",180000,4.0,4.0,1700
"4 BHK Flat for Rent in Alpine Viva, Whitefield, Bangalore","Alpine Viva, Whitefield",60000,4.0,4.0,2495
"3 BHK Flat for Rent in DNR Arista, Bellandur, Outer Ring Road, Bangalore","DNR Arista, Bellandur, Outer Ring Road",79000,3.0,3.0,1680
"3 BHK Flat for Rent in L&T Raintree Boulevard, Hebbal, Bangalore","L&T Raintree Boulevard, Hebbal",69000,3.0,3.0,986
"4 BHK Flat for Rent in Brigade Gateway, Rajajinagar, Bangalore","Brigade Gateway, Rajajinagar",100000,4.0,4.0,2000
"2 BHK Flat for Rent in Sparkle Marquise, Bannerghatta Main Road, Bangalore","Sparkle Marquise, Bannerghatta Main Road",55000,2.0,2.0,834
"2 BHK Flat for Rent in Godrej Woodsman Estate, Hebbal, Bangalore","Godrej Woodsman Estate, Hebbal",59000,2.0,2.0,1302
"4 BHK Flat for Rent in Prestige Estates Shantiniketan, Whitefield, Bangalore","Prestige Estates Shantiniketan, Whitefield",130000,5.0,4.0,3122
"1 BHK Flat for Rent in Prestige Jindal City, Tumkur Road, Bangalore","Prestige Jindal City, Tumkur Road",33000,1.0,1.0,422
3 BHK House for Rent in Haralur Main Road Bangalore,Haralur Main Road,45000,3.0,3.0,2100
"3 BHK Flat for Rent in Prestige Falcon City, Kanakapura Road, Bangalore","Prestige Falcon City, Kanakapura Road",68000,3.0,3.0,1200
"3 BHK Flat for Rent in Avalon Park At The Prestige City, Sarjapur Road, Bangalore","Avalon Park At The Prestige City, Sarjapur Road",55000,3.0,3.0,1500
"4 BHK Flat for Rent in L&T Raintree Boulevard, Hebbal, Bangalore","L&T Raintree Boulevard, Hebbal",130000,5.0,4.0,2400
4 BHK Villa for Rent in Carmelaram Bangalore,Carmelaram,130000,4.0,4.0,2111
"2 BHK Flat for Rent in Prestige Falcon City, Kanakapura Road, Bangalore","Prestige Falcon City, Kanakapura Road",52000,2.0,2.0,1218
"3 BHK Flat for Rent in Hiranandani Glen Gate, Hebbal, Bangalore","Hiranandani Glen Gate, Hebbal",58000,2.0,3.0,1250
"3 BHK Flat for Rent in Gopalan Aqua, Whitefield, Bangalore","Gopalan Aqua, Whitefield",75000,3.0,3.0,1344
"2 BHK Flat for Rent in Akme Ballet, Doddanekundi, Kartik Nagar, Bangalore","Akme Ballet, Doddanekundi, Kartik Nagar",65000,2.0,2.0,1285
"3 BHK Flat for Rent in Sobha Windsor, Whitefield, Bangalore","Sobha Windsor, Whitefield",65000,3.0,3.0,1100
"3 BHK Flat for Rent in Sobha City Casa Paradiso, RK Hegde Nagar, Bangalore","Sobha City Casa Paradiso, RK Hegde Nagar",60000,4.0,3.0,2100
"3 BHK Flat for Rent in Phoenix One Bangalore West, 1st Block Rajajinagar, Bangalore","Phoenix One  West, 1st Block Rajajinagar",200000,3.0,3.0,1277
"4 BHK Flat for Rent in Sobha Indraprastha, Rajajinagar Industrial Town, Rajajinagar, Bangalore","Sobha Indraprastha, Rajajinagar Industrial Town, Rajajinagar",180000,4.0,4.0,1700
"4 BHK Flat for Rent in Alpine Viva, Whitefield, Bangalore","Alpine Viva, Whitefield",60000,4.0,4.0,2495
"3 BHK Flat for Rent in DNR Arista, Bellandur, Outer Ring Road, Bangalore","DNR Arista, Bellandur, Outer Ring Road",79000,3.0,3.0,1680
"3 BHK Flat for Rent in L&T Raintree Boulevard, Hebbal, Bangalore","L&T Raintree Boulevard, Hebbal",69000,3.0,3.0,986
"4 BHK Flat for Rent in Brigade Gateway, Rajajinagar, Bangalore","Brigade Gateway, Rajajinagar",100000,4.0,4.0,2000
"2 BHK Flat for Rent in Sparkle Marquise, Bannerghatta Main Road, Bangalore","Sparkle Marquise, Bannerghatta Main Road",55000,2.0,2.0,834
"2 BHK Flat for Rent in Godrej Woodsman Estate, Hebbal, Bangalore","Godrej Woodsman Estate, Hebbal",59000,2.0,2.0,1302
"4 BHK Flat for Rent in Prestige Estates Shantiniketan, Whitefield, Bangalore","Prestige Estates Shantiniketan, Whitefield",130000,5.0,4.0,3122
"1 BHK Flat for Rent in Prestige Jindal City, Tumkur Road, Bangalore","Prestige Jindal City, Tumkur Road",33000,1.0,1.0,422
3 BHK House for Rent in Haralur Main Road Bangalore,Haralur Main Road,45000,3.0,3.0,2100
"3 BHK Flat for Rent in Prestige Falcon City, Kanakapura Road, Bangalore","Prestige Falcon City, Kanakapura Road",68000,3.0,3.0,1200
"3 BHK Flat for Rent in Avalon Park At The Prestige City, Sarjapur Road, Bangalore","Avalon Park At The Prestige City, Sarjapur Road",55000,3.0,3.0,1500
"4 BHK Flat for Rent in L&T Raintree Boulevard, Hebbal, Bangalore","L&T Raintree Boulevard, Hebbal",130000,5.0,4.0,2400
4 BHK Villa for Rent in Carmelaram Bangalore,Carmelaram,130000,4.0,4.0,2111
"2 BHK Flat for Rent in Prestige Falcon City, Kanakapura Road, Bangalore","Prestige Falcon City, Kanakapura Road",52000,2.0,2.0,1218
"3 BHK Flat for Rent in Hiranandani Glen Gate, Hebbal, Bangalore","Hiranandani Glen Gate, Hebbal",58000,2.0,3.0,1250
"3 BHK Flat for Rent in Gopalan Aqua, Whitefield, Bangalore","Gopalan Aqua, Whitefield",75000,3.0,3.0,1344
"2 BHK Flat for Rent in Akme Ballet, Doddanekundi, Kartik Nagar, Bangalore","Akme Ballet, Doddanekundi, Kartik Nagar",65000,2.0,2.0,1285
"3 BHK Flat for Rent in Sobha Windsor, Whitefield, Bangalore","Sobha Windsor, Whitefield",65000,3.0,3.0,1100
"3 BHK Flat for Rent in Sobha City Casa Paradiso, RK Hegde Nagar, Bangalore","Sobha City Casa Paradiso, RK Hegde Nagar",60000,4.0,3.0,2100
"3 BHK Flat for Rent in Phoenix One Bangalore West, 1st Block Rajajinagar, Bangalore","Phoenix One  West, 1st Block Rajajinagar",200000,3.0,3.0,1277
"4 BHK Flat for Rent in Sobha Indraprastha, Rajajinagar Industrial Town, Rajajinagar, Bangalore","Sobha Indraprastha, Rajajinagar Industrial Town, Rajajinagar",180000,4.0,4.0,1700
"4 BHK Flat for Rent in Alpine Viva, Whitefield, Bangalore","Alpine Viva, Whitefield",60000,4.0,4.0,2495
"3 BHK Flat for Rent in DNR Arista, Bellandur, Outer Ring Road, Bangalore","DNR Arista, Bellandur, Outer Ring Road",79000,3.0,3.0,1680
"3 BHK Flat for Rent in L&T Raintree Boulevard, Hebbal, Bangalore","L&T Raintree Boulevard, Hebbal",69000,3.0,3.0,986
"4 BHK Flat for Rent in Brigade Gateway, Rajajinagar, Bangalore","Brigade Gateway, Rajajinagar",100000,4.0,4.0,2000
"2 BHK Flat for Rent in Sparkle Marquise, Bannerghatta Main Road, Bangalore","Sparkle Marquise, Bannerghatta Main Road",55000,2.0,2.0,834
"2 BHK Flat for Rent in Godrej Woodsman Estate, Hebbal, Bangalore","Godrej Woodsman Estate, Hebbal",59000,2.0,2.0,1302
"4 BHK Flat for Rent in Prestige Estates Shantiniketan, Whitefield, Bangalore","Prestige Estates Shantiniketan, Whitefield",130000,5.0,4.0,3122
"1 BHK Flat for Rent in Prestige Jindal City, Tumkur Road, Bangalore","Prestige Jindal City, Tumkur Road",33000,1.0,1.0,422
3 BHK House for Rent in Haralur Main Road Bangalore,Haralur Main Road,45000,3.0,3.0,2100
"3 BHK Flat for Rent in Prestige Falcon City, Kanakapura Road, Bangalore","Prestige Falcon City, Kanakapura Road",68000,3.0,3.0,1200
"3 BHK Flat for Rent in Avalon Park At The Prestige City, Sarjapur Road, Bangalore","Avalon Park At The Prestige City, Sarjapur Road",55000,3.0,3.0,1500
"4 BHK Flat for Rent in L&T Raintree Boulevard, Hebbal, Bangalore","L&T Raintree Boulevard, Hebbal",130000,5.0,4.0,2400
4 BHK Villa for Rent in Carmelaram Bangalore,Carmelaram,130000,4.0,4.0,2111
"2 BHK Flat for Rent in Prestige Falcon City, Kanakapura Road, Bangalore","Prestige Falcon City, Kanakapura Road",52000,2.0,2.0,1218
"3 BHK Flat for Rent in Hiranandani Glen Gate, Hebbal, Bangalore","Hiranandani Glen Gate, Hebbal",58000,2.0,3.0,1250
"3 BHK Flat for Rent in Gopalan Aqua, Whitefield, Bangalore","Gopalan Aqua, Whitefield",75000,3.0,3.0,1344
"2 BHK Flat for Rent in Akme Ballet, Doddanekundi, Kartik Nagar, Bangalore","Akme Ballet, Doddanekundi, Kartik Nagar",65000,2.0,2.0,1285
"3 BHK Flat for Rent in Sobha Windsor, Whitefield, Bangalore","Sobha Windsor, Whitefield",65000,3.0,3.0,1100
"3 BHK Flat for Rent in Sobha City Casa Paradiso, RK Hegde Nagar, Bangalore","Sobha City Casa Paradiso, RK Hegde Nagar",60000,4.0,3.0,2100
"3 BHK Flat for Rent in Phoenix One Bangalore West, 1st Block Rajajinagar, Bangalore","Phoenix One  West, 1st Block Rajajinagar",200000,3.0,3.0,1277
"4 BHK Flat for Rent in Sobha Indraprastha, Rajajinagar Industrial Town, Rajajinagar, Bangalore","Sobha Indraprastha, Rajajinagar Industrial Town, Rajajinagar",180000,4.0,4.0,1700
"4 BHK Flat for Rent in Alpine Viva, Whitefield, Bangalore","Alpine Viva, Whitefield",60000,4.0,4.0,2495
"3 BHK Flat for Rent in DNR Arista, Bellandur, Outer Ring Road, Bangalore","DNR Arista, Bellandur, Outer Ring Road",79000,3.0,3.0,1680
"3 BHK Flat for Rent in L&T Raintree Boulevard, Hebbal, Bangalore","L&T Raintree Boulevard, Hebbal",69000,3.0,3.0,986
"4 BHK Flat for Rent in Brigade Gateway, Rajajinagar, Bangalore","Brigade Gateway, Rajajinagar",100000,4.0,4.0,2000
"2 BHK Flat for Rent in Sparkle Marquise, Bannerghatta Main Road, Bangalore","Sparkle Marquise, Bannerghatta Main Road",55000,2.0,2.0,834
"2 BHK Flat for Rent in Godrej Woodsman Estate, Hebbal, Bangalore","Godrej Woodsman Estate, Hebbal",59000,2.0,2.0,1302
"4 BHK Flat for Rent in Prestige Estates Shantiniketan, Whitefield, Bangalore","Prestige Estates Shantiniketan, Whitefield",130000,5.0,4.0,3122
"1 BHK Flat for Rent in Prestige Jindal City, Tumkur Road, Bangalore","Prestige Jindal City, Tumkur Road",33000,1.0,1.0,422
3 BHK House for Rent in Haralur Main Road Bangalore,Haralur Main Road,45000,3.0,3.0,2100
"3 BHK Flat for Rent in Prestige Falcon City, Kanakapura Road, Bangalore","Prestige Falcon City, Kanakapura Road",68000,3.0,3.0,1200
"3 BHK Flat for Rent in Avalon Park At The Prestige City, Sarjapur Road, Bangalore","Avalon Park At The Prestige City, Sarjapur Road",55000,3.0,3.0,1500
"4 BHK Flat for Rent in L&T Raintree Boulevard, Hebbal, Bangalore","L&T Raintree Boulevard, Hebbal",130000,5.0,4.0,2400
4 BHK Villa for Rent in Carmelaram Bangalore,Carmelaram,130000,4.0,4.0,2111
"2 BHK Flat for Rent in Prestige Falcon City, Kanakapura Road, Bangalore","Prestige Falcon City, Kanakapura Road",52000,2.0,2.0,1218
"3 BHK Flat for Rent in Hiranandani Glen Gate, Hebbal, Bangalore","Hiranandani Glen Gate, Hebbal",58000,2.0,3.0,1250
"3 BHK Flat for Rent in Gopalan Aqua, Whitefield, Bangalore","Gopalan Aqua, Whitefield",75000,3.0,3.0,1344
"2 BHK Flat for Rent in Akme Ballet, Doddanekundi, Kartik Nagar, Bangalore","Akme Ballet, Doddanekundi, Kartik Nagar",65000,2.0,2.0,1285
"3 BHK Flat for Rent in Sobha Windsor, Whitefield, Bangalore","Sobha Windsor, Whitefield",65000,3.0,3.0,1100
"3 BHK Flat for Rent in Sobha City Casa Paradiso, RK Hegde Nagar, Bangalore","Sobha City Casa Paradiso, RK Hegde Nagar",60000,4.0,3.0,2100
"3 BHK Flat for Rent in Phoenix One Bangalore West, 1st Block Rajajinagar, Bangalore","Phoenix One  West, 1st Block Rajajinagar",200000,3.0,3.0,1277
"4 BHK Flat for Rent in Sobha Indraprastha, Rajajinagar Industrial Town, Rajajinagar, Bangalore","Sobha Indraprastha, Rajajinagar Industrial Town, Rajajinagar",180000,4.0,4.0,1700
"4 BHK Flat for Rent in Alpine Viva, Whitefield, Bangalore","Alpine Viva, Whitefield",60000,4.0,4.0,2495
"3 BHK Flat for Rent in DNR Arista, Bellandur, Outer Ring Road, Bangalore","DNR Arista, Bellandur, Outer Ring Road",79000,3.0,3.0,1680
"3 BHK Flat for Rent in L&T Raintree Boulevard, Hebbal, Bangalore","L&T Raintree Boulevard, Hebbal",69000,3.0,3.0,986
"4 BHK Flat for Rent in Brigade Gateway, Rajajinagar, Bangalore","Brigade Gateway, Rajajinagar",100000,4.0,4.0,2000
"2 BHK Flat for Rent in Sparkle Marquise, Bannerghatta Main Road, Bangalore","Sparkle Marquise, Bannerghatta Main Road",55000,2.0,2.0,834
"2 BHK Flat for Rent in Godrej Woodsman Estate, Hebbal, Bangalore","Godrej Woodsman Estate, Hebbal",59000,2.0,2.0,1302
"4 BHK Flat for Rent in Prestige Estates Shantiniketan, Whitefield, Bangalore","Prestige Estates Shantiniketan, Whitefield",130000,5.0,4.0,3122
"1 BHK Flat for Rent in Prestige Jindal City, Tumkur Road, Bangalore","Prestige Jindal City, Tumkur Road",33000,1.0,1.0,422
3 BHK House for Rent in Haralur Main Road Bangalore,Haralur Main Road,45000,3.0,3.0,2100
"3 BHK Flat for Rent in Prestige Falcon City, Kanakapura Road, Bangalore","Prestige Falcon City, Kanakapura Road",68000,3.0,3.0,1200
"3 BHK Flat for Rent in Avalon Park At The Prestige City, Sarjapur Road, Bangalore","Avalon Park At The Prestige City, Sarjapur Road",55000,3.0,3.0,1500
"4 BHK Flat for Rent in L&T Raintree Boulevard, Hebbal, Bangalore","L&T Raintree Boulevard, Hebbal",130000,5.0,4.0,2400
4 BHK Villa for Rent in Carmelaram Bangalore,Carmelaram,130000,4.0,4.0,2111
"2 BHK Flat for Rent in Prestige Falcon City, Kanakapura Road, Bangalore","Prestige Falcon City, Kanakapura Road",52000,2.0,2.0,1218
"3 BHK Flat for Rent in Hiranandani Glen Gate, Hebbal, Bangalore","Hiranandani Glen Gate, Hebbal",58000,2.0,3.0,1250
"3 BHK Flat for Rent in Gopalan Aqua, Whitefield, Bangalore","Gopalan Aqua, Whitefield",75000,3.0,3.0,1344
"2 BHK Flat for Rent in Akme Ballet, Doddanekundi, Kartik Nagar, Bangalore","Akme Ballet, Doddanekundi, Kartik Nagar",65000,2.0,2.0,1285
"3 BHK Flat for Rent in Sobha Windsor, Whitefield, Bangalore","Sobha Windsor, Whitefield",65000,3.0,3.0,1100
"3 BHK Flat for Rent in Sobha City Casa Paradiso, RK Hegde Nagar, Bangalore","Sobha City Casa Paradiso, RK Hegde Nagar",60000,4.0,3.0,2100
"3 BHK Flat for Rent in Phoenix One Bangalore West, 1st Block Rajajinagar, Bangalore","Phoenix One  West, 1st Block Rajajinagar",200000,3.0,3.0,1277
"4 BHK Flat for Rent in Sobha Indraprastha, Rajajinagar Industrial Town, Rajajinagar, Bangalore","Sobha Indraprastha, Rajajinagar Industrial Town, Rajajinagar",180000,4.0,4.0,1700
"4 BHK Flat for Rent in Alpine Viva, Whitefield, Bangalore","Alpine Viva, Whitefield",60000,4.0,4.0,2495
"3 BHK Flat for Rent in DNR Arista, Bellandur, Outer Ring Road, Bangalore","DNR Arista, Bellandur, Outer Ring Road",79000,3.0,3.0,1680
"3 BHK Flat for Rent in L&T Raintree Boulevard, Hebbal, Bangalore","L&T Raintree Boulevard, Hebbal",69000,3.0,3.0,986
"4 BHK Flat for Rent in Brigade Gateway, Rajajinagar, Bangalore","Brigade Gateway, Rajajinagar",100000,4.0,4.0,2000
"2 BHK Flat for Rent in Sparkle Marquise, Bannerghatta Main Road, Bangalore","Sparkle Marquise, Bannerghatta Main Road",55000,2.0,2.0,834
"2 BHK Flat for Rent in Godrej Woodsman Estate, Hebbal, Bangalore","Godrej Woodsman Estate, Hebbal",59000,2.0,2.0,1302
"4 BHK Flat for Rent in Prestige Estates Shantiniketan, Whitefield, Bangalore","Prestige Estates Shantiniketan, Whitefield",130000,5.0,4.0,3122
"1 BHK Flat for Rent in Prestige Jindal City, Tumkur Road, Bangalore","Prestige Jindal City, Tumkur Road",33000,1.0,1.0,422
3 BHK House for Rent in Haralur Main Road Bangalore,Haralur Main Road,45000,3.0,3.0,2100
"3 BHK Flat for Rent in Prestige Falcon City, Kanakapura Road, Bangalore","Prestige Falcon City, Kanakapura Road",68000,3.0,3.0,1200
"3 BHK Flat for Rent in Avalon Park At The Prestige City, Sarjapur Road, Bangalore","Avalon Park At The Prestige City, Sarjapur Road",55000,3.0,3.0,1500
"4 BHK Flat for Rent in L&T Raintree Boulevard, Hebbal, Bangalore","L&T Raintree Boulevard, Hebbal",130000,5.0,4.0,2400
4 BHK Villa for Rent in Carmelaram Bangalore,Carmelaram,130000,4.0,4.0,2111
"2 BHK Flat for Rent in Prestige Falcon City, Kanakapura Road, Bangalore","Prestige Falcon City, Kanakapura Road",52000,2.0,2.0,1218
"3 BHK Flat for Rent in Hiranandani Glen Gate, Hebbal, Bangalore","Hiranandani Glen Gate, Hebbal",58000,2.0,3.0,1250
"3 BHK Flat for Rent in Gopalan Aqua, Whitefield, Bangalore","Gopalan Aqua, Whitefield",75000,3.0,3.0,1344
"2 BHK Flat for Rent in Akme Ballet, Doddanekundi, Kartik Nagar, Bangalore","Akme Ballet, Doddanekundi, Kartik Nagar",65000,2.0,2.0,1285
"3 BHK Flat for Rent in Sobha Windsor, Whitefield, Bangalore","Sobha Windsor, Whitefield",65000,3.0,3.0,1100
"3 BHK Flat for Rent in Sobha City Casa Paradiso, RK Hegde Nagar, Bangalore","Sobha City Casa Paradiso, RK Hegde Nagar",60000,4.0,3.0,2100
"3 BHK Flat for Rent in Phoenix One Bangalore West, 1st Block Rajajinagar, Bangalore","Phoenix One  West, 1st Block Rajajinagar",200000,3.0,3.0,1277
"4 BHK Flat for Rent in Sobha Indraprastha, Rajajinagar Industrial Town, Rajajinagar, Bangalore","Sobha Indraprastha, Rajajinagar Industrial Town, Rajajinagar",180000,4.0,4.0,1700
"4 BHK Flat for Rent in Alpine Viva, Whitefield, Bangalore","Alpine Viva, Whitefield",60000,4.0,4.0,2495
"3 BHK Flat for Rent in DNR Arista, Bellandur, Outer Ring Road, Bangalore","DNR Arista, Bellandur, Outer Ring Road",79000,3.0,3.0,1680
"3 BHK Flat for Rent in L&T Raintree Boulevard, Hebbal, Bangalore","L&T Raintree Boulevard, Hebbal",69000,3.0,3.0,986
"4 BHK Flat for Rent in Brigade Gateway, Rajajinagar, Bangalore","Brigade Gateway, Rajajinagar",100000,4.0,4.0,2000
"2 BHK Flat for Rent in Sparkle Marquise, Bannerghatta Main Road, Bangalore","Sparkle Marquise, Bannerghatta Main Road",55000,2.0,2.0,834
"2 BHK Flat for Rent in Godrej Woodsman Estate, Hebbal, Bangalore","Godrej Woodsman Estate, Hebbal",59000,2.0,2.0,1302
"4 BHK Flat for Rent in Prestige Estates Shantiniketan, Whitefield, Bangalore","Prestige Estates Shantiniketan, Whitefield",130000,5.0,4.0,3122
"1 BHK Flat for Rent in Prestige Jindal City, Tumkur Road, Bangalore","Prestige Jindal City, Tumkur Road",33000,1.0,1.0,422
3 BHK House for Rent in Haralur Main Road Bangalore,Haralur Main Road,45000,3.0,3.0,2100
"3 BHK Flat for Rent in Prestige Falcon City, Kanakapura Road, Bangalore","Prestige Falcon City, Kanakapura Road",68000,3.0,3.0,1200
"3 BHK Flat for Rent in Avalon Park At The Prestige City, Sarjapur Road, Bangalore","Avalon Park At The Prestige City, Sarjapur Road",55000,3.0,3.0,1500
"4 BHK Flat for Rent in L&T Raintree Boulevard, Hebbal, Bangalore","L&T Raintree Boulevard, Hebbal",130000,5.0,4.0,2400
4 BHK Villa for Rent in Carmelaram Bangalore,Carmelaram,130000,4.0,4.0,2111
"2 BHK Flat for Rent in Prestige Falcon City, Kanakapura Road, Bangalore","Prestige Falcon City, Kanakapura Road",52000,2.0,2.0,1218
"3 BHK Flat for Rent in Hiranandani Glen Gate, Hebbal, Bangalore","Hiranandani Glen Gate, Hebbal",58000,2.0,3.0,1250
"3 BHK Flat for Rent in Gopalan Aqua, Whitefield, Bangalore","Gopalan Aqua, Whitefield",75000,3.0,3.0,1344
"2 BHK Flat for Rent in Akme Ballet, Doddanekundi, Kartik Nagar, Bangalore","Akme Ballet, Doddanekundi, Kartik Nagar",65000,2.0,2.0,1285
"3 BHK Flat for Rent in Sobha Windsor, Whitefield, Bangalore","Sobha Windsor, Whitefield",65000,3.0,3.0,1100
"3 BHK Flat for Rent in Sobha City Casa Paradiso, RK Hegde Nagar, Bangalore","Sobha City Casa Paradiso, RK Hegde Nagar",60000,4.0,3.0,2100
"3 BHK Flat for Rent in Phoenix One Bangalore West, 1st Block Rajajinagar, Bangalore","Phoenix One  West, 1st Block Rajajinagar",200000,3.0,3.0,1277
"4 BHK Flat for Rent in Sobha Indraprastha, Rajajinagar Industrial Town, Rajajinagar, Bangalore","Sobha Indraprastha, Rajajinagar Industrial Town, Rajajinagar",180000,4.0,4.0,1700
